dataset,origin,target_date,day_offset,X,method,scenario,true_count,wasserstein_hour,wasserstein_duration,wasserstein_energy,crps_total_energy,crps_mean_duration,profile_rmse_kw,profile_nrmse,status,n_pool_sessions,n_pool_occurrences,fit_seconds,sample_seconds
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,0,31,2.6844,1.3218,2.4517,21.87045573453809,0.6074791753473465,12.455746482321688,0.85009104283108,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,1,31,3.6769,0.5971,1.8164,21.87045573453809,0.6074791753473465,10.407635568896874,0.7103097182273628,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,2,31,2.8157,0.8134,3.9179,21.87045573453809,0.6074791753473465,13.474540551163459,0.9196226211785536,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,3,31,2.5845,2.898,2.9425,21.87045573453809,0.6074791753473465,12.594169634938146,0.8595382712510466,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,4,31,2.251,0.3296,1.5367,21.87045573453809,0.6074791753473465,11.996862026819391,0.8187726817942224,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,5,31,3.2339,0.4475,2.2568,21.87045573453809,0.6074791753473465,14.280713632712795,0.9746430502286542,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,6,31,1.9658,1.9705,2.8784,21.87045573453809,0.6074791753473465,9.402574542848413,0.6417154049957116,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,7,31,4.2443,1.1725,4.1131,21.87045573453809,0.6074791753473465,13.671140113041496,0.9330403257548499,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,8,31,3.1362,1.8403,3.1449,21.87045573453809,0.6074791753473465,13.246321859500338,0.9040469456568336,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,,vae_shared,9,31,1.1958,3.0868,2.6035,21.87045573453809,0.6074791753473465,8.871481791001553,0.6054689068915392,ok,42131,,51.09230131700002,0.007092517799998177
sample_df_home_dept92,2026-02-23,2026-02-24,1,16.0,persistence,0,31,3.3968,0.4053,1.5259,17.30124000000001,0.226199247311828,6.941197697834067,0.47372913360296665,ok,766,16.0,0.0008846160000075542,0.0047129928999993355
sample_df_home_dept92,2026-02-23,2026-02-24,1,16.0,persistence,1,31,1.4892,0.3965,1.8913,17.30124000000001,0.226199247311828,10.72284085047981,0.7318221331522334,ok,766,16.0,0.0008846160000075542,0.0047129928999993355
sample_df_home_dept92,2026-02-23,2026-02-24,1,16.0,persistence,2,31,2.8753,0.5193,3.0887,17.30124000000001,0.226199247311828,7.6874384893738466,0.5246592495605691,ok,766,16.0,0.0008846160000075542,0.0047129928999993355
sample_df_home_dept92,2026-02-23,2026-02-24,1,16.0,persistence,3,31,1.7844,0.8622,3.3868,17.30124000000001,0.226199247311828,13.129292606821307,0.8960598274545759,ok,766,16.0,0.0008846160000075542,0.0047129928999993355
sample_df_home_dept92,2026-02-23,2026-02-24,1,16.0,persistence,4,31,2.6011,0.9953,1.3448,17.30124000000001,0.226199247311828,5.077763623760639,0.3465518008333628,ok,766,16.0,0.0008846160000075542,0.0047129928999993355
sample_df_home_dept92,2026-02-23,2026-02-24,1,16.0,persistence,5,31,2.1263,0.2635,1.6603,17.30124000000001,0.226199247311828,10.232198816762548,0.6983363522163866,ok,766,16.0,0.0008846160000075542,0.0047129928999993355
sample_df_home_dept92,2026-02-23,2026-02-24,1,16.0,persistence,6,31,1.8511,0.4765,2.7327,17.30124000000001,0.226199247311828,7.101223078486539,0.48465069040499176,ok,766,16.0,0.0008846160000075542,0.0047129928999993355
