dataset,origin,target_date,day_offset,X,method,scenario,true_count,wasserstein_hour,wasserstein_duration,wasserstein_energy,crps_total_energy,crps_mean_duration,profile_rmse_kw,profile_nrmse,status,n_pool_sessions,n_pool_occurrences,fit_seconds,sample_seconds
sap,2020-12-20,2020-12-21,1,,vae_shared,0,29,3.9655,2.5317,7.4388,42.07544385218828,0.3990137275391613,29.80081567624177,1.0526325044812226,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,1,29,2.9874,1.9142,6.4675,42.07544385218828,0.3990137275391613,39.392159651669076,1.3914205611532398,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,2,29,3.1006,2.1555,8.9636,42.07544385218828,0.3990137275391613,36.67644424591402,1.2954953240699743,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,3,29,3.1035,2.0401,7.1852,42.07544385218828,0.3990137275391613,30.97226682439544,1.0940108200734862,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,4,29,3.574,2.3583,5.2283,42.07544385218828,0.3990137275391613,22.303117113055325,0.7877967596427269,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,5,29,3.5791,1.9124,7.4041,42.07544385218828,0.3990137275391613,32.974200310014616,1.1647236583281835,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,6,29,1.8167,1.9299,6.5317,42.07544385218828,0.3990137275391613,18.395361513895512,0.6497659551193633,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,7,29,2.4682,1.6661,4.407,42.07544385218828,0.3990137275391613,28.87288443235987,1.0198558650816343,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,8,29,2.5026,1.8403,4.9898,42.07544385218828,0.3990137275391613,31.312909199269036,1.1060430825488212,ok,26181,,41.81142576900004,0.008806557900004463
sap,2020-12-20,2020-12-21,1,,vae_shared,9,29,3.5619,2.0804,4.4903,42.07544385218828,0.3990137275391613,23.47349163396904,0.8291370463152352,ok,26181,,41.81142576900004,0.008806557900004463
