dataset,origin,target_date,day_offset,X,method,scenario,true_count,wasserstein_hour,wasserstein_duration,wasserstein_energy,crps_total_energy,crps_mean_duration,profile_rmse_kw,profile_nrmse,status,n_pool_sessions,n_pool_occurrences,fit_seconds,sample_seconds
boulder,2021-03-19,2021-03-20,1,16.0,persistence,9,22,2.6765,1.0235,4.6046,30.212239999999987,0.26611780303030247,7.267225282220264,1.0208151072141398,ok,212,16.0,0.0008471480000196152,0.004644382300000416
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,0,22,1.6589,1.119,5.9534,12.730723607921163,0.10294745840023167,13.972947330787402,1.9627567845560767,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,1,22,1.7708,0.571,3.5441,12.730723607921163,0.10294745840023167,7.818032491335795,1.098186084222824,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,2,22,2.0824,0.6049,1.2483,12.730723607921163,0.10294745840023167,7.444976029836087,1.0457834605317082,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,3,22,2.4965,0.5742,1.4112,12.730723607921163,0.10294745840023167,11.028481287646407,1.5491525129407266,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,4,22,1.8109,0.7296,1.9228,12.730723607921163,0.10294745840023167,8.296779328961774,1.1654348601174231,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,5,22,2.3851,0.6303,2.7591,12.730723607921163,0.10294745840023167,11.538527703726157,1.6207978888159555,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,6,22,2.9757,0.6222,1.5955,12.730723607921163,0.10294745840023167,12.53734818105018,1.7611005480911188,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,7,22,3.8411,0.6539,1.8397,12.730723607921163,0.10294745840023167,10.87684471978305,1.5278523752307083,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,8,22,1.9994,0.7561,1.3676,12.730723607921163,0.10294745840023167,7.467009748685773,1.0488785005499248,ok,212,16.0,0.33596191899999894,0.00594852469999978
boulder,2021-03-19,2021-03-20,1,16.0,vae_percell,9,22,2.383,0.6907,2.3567,12.730723607921163,0.10294745840023167,8.861367235134544,1.2447415888329365,ok,212,16.0,0.33596191899999894,0.00594852469999978
